state,act_participation_2017,act_english_2017,act_math_2017,act_reading_2017,act_science_2017,act_composite_2017,sat_participation_2017,sat_verbal_2017,sat_math_2017,sat_total_2017
alabama,1.0,18.9,18.4,19.7,19.4,19.2,0.05,593,572,1165
alaska,0.65,18.7,19.8,20.4,19.9,19.8,0.38,547,533,1080
arizona,0.62,18.6,19.8,20.1,19.8,19.7,0.3,563,553,1116
arkansas,1.0,18.9,19.0,19.7,19.5,19.4,0.03,614,594,1208
california,0.31,22.5,22.7,23.1,22.2,22.8,0.53,531,524,1055
colorado,1.0,20.1,20.3,21.2,20.9,20.8,0.11,606,595,1201
connecticut,0.31,25.5,24.6,25.6,24.6,25.2,1.0,530,512,1041
delaware,0.18,24.1,23.4,24.8,23.6,24.1,1.0,503,492,996
district of columbia,0.32,24.4,23.5,24.9,23.5,24.2,1.0,482,468,950
florida,0.73,19.0,19.4,21.0,19.4,19.8,0.83,520,497,1017
georgia,0.55,21.0,20.9,22.0,21.3,21.4,0.61,535,515,1050
hawaii,0.9,17.8,19.2,19.2,19.3,19.0,0.55,544,541,1085
idaho,0.38,21.9,21.8,23.0,22.1,22.3,0.93,513,493,1005
illinois,0.93,21.0,21.2,21.6,21.3,21.4,0.09,559,556,1115
indiana,0.35,22.0,22.4,23.2,22.3,22.6,0.63,542,532,1074
iowa,0.67,21.2,21.3,22.6,22.1,21.9,0.02,641,635,1275
kansas,0.73,21.1,21.3,22.3,21.7,21.7,0.04,632,628,1260
kentucky,1.0,19.6,19.4,20.5,20.1,20.0,0.04,631,616,1247
louisiana,1.0,19.4,18.8,19.8,19.6,19.5,0.04,611,586,1198
maine,0.08,24.2,24.0,24.8,23.7,24.3,0.95,513,499,1012
maryland,0.28,23.3,23.1,24.2,2.3,23.6,0.69,536,528,1060
massachusetts,0.29,25.4,25.3,25.9,24.7,25.4,0.76,555,551,1107
michigan,0.29,24.1,23.7,24.5,23.8,24.1,1.0,509,495,1005
minnesota,1.0,20.4,21.5,21.8,21.6,21.5,0.03,644,651,1295
mississippi,1.0,18.2,18.1,18.8,18.8,18.6,0.02,634,607,1242
missouri,1.0,19.8,19.9,20.8,20.5,20.4,0.03,640,631,1271
montana,1.0,19.0,20.2,21.0,20.5,20.3,0.1,605,591,1196
nebraska,0.84,20.9,20.9,21.9,21.5,21.4,0.03,629,625,1253
nevada,1.0,16.3,18.0,18.1,18.2,17.8,0.26,563,553,1116
new hampshire,0.18,25.4,25.1,26.0,24.9,25.5,0.96,532,520,1052
new jersey,0.34,23.8,23.8,24.1,23.2,23.9,0.7,530,526,1056
new mexico,0.66,18.6,19.4,20.4,20.0,19.7,0.11,577,561,1138
new york,0.31,23.8,24.0,24.6,23.9,24.2,0.67,528,523,1052
north carolina,1.0,17.8,19.3,19.6,19.3,19.1,0.49,546,535,1081
north dakota,0.98,19.0,20.4,20.5,20.6,20.3,0.02,635,621,1256
ohio,0.75,21.2,21.6,22.5,22.0,22.0,0.12,578,570,1149
oklahoma,1.0,18.5,18.8,20.1,19.6,19.4,0.07,530,517,1047
oregon,0.4,21.2,21.5,22.4,21.7,21.8,0.43,560,548,1108
pennsylvania,0.23,23.4,23.4,24.2,23.3,23.7,0.65,540,531,1071
rhode island,0.21,24.0,23.3,24.7,23.4,24.0,0.71,539,524,1062
south carolina,1.0,17.5,18.6,19.1,18.9,18.7,0.5,543,521,1064
south dakota,0.8,20.7,21.5,22.3,22.0,21.8,0.03,612,603,1216
tennessee,1.0,19.5,19.2,20.1,19.9,19.8,0.05,623,604,1228
texas,0.45,19.5,20.7,21.1,20.9,20.7,0.62,513,507,1020
utah,1.0,19.5,19.9,20.8,20.6,20.3,0.03,624,614,1238
vermont,0.29,23.3,23.1,24.4,23.2,23.6,0.6,562,551,1114
virginia,0.29,23.5,23.3,24.6,23.5,23.8,0.65,561,541,1102
washington,0.29,20.9,21.9,22.1,22.0,21.9,0.64,541,534,1075
west virginia,0.69,20.0,19.4,21.2,20.5,20.4,0.14,558,528,1086
wisconsin,1.0,19.7,20.4,20.6,20.9,20.5,0.03,642,649,1291
wyoming,1.0,19.4,19.8,20.8,20.6,20.2,0.03,626,604,1230
