State,act_participation_2017,act_english_2017,act_math_2017,act_reading_2017,act_science_2017,act_composite_2017,act_participation_2018,act_composite_2018,sat_participation_2017,sat_verbal_2017,sat_math_2017,sat_total_2017,sat_participation_2018,sat_verbal_2018,sat_math_2018,sat_total_2018,Abbrev,Code,Spending,hover
Alabama,1,18.9,18.4,19.7,19.4,19.2,1,19.1,0.05,593,572,1165,0.06,595,571,1166,Ala.,AL,8.02,Alabama <br> SAT 2017: 0.05 <br> SAT 2018: 0.06 <br> ACT 2017: 1 <br> ACT 2018: 1
Alaska,0.65,18.7,19.8,20.4,19.9,19.8,0.33,20.8,0.38,547,533,1080,0.43,562,544,1106,Alaska,AK,2.59,Alaska <br> SAT 2017: 0.38 <br> SAT 2018: 0.43 <br> ACT 2017: 0.65 <br> ACT 2018: 0.33
Arizona,0.62,18.6,19.8,20.1,19.8,19.7,0.66,19.2,0.3,563,553,1116,0.29,577,572,1149,Ariz.,AZ,8.39,Arizona <br> SAT 2017: 0.3 <br> SAT 2018: 0.29 <br> ACT 2017: 0.62 <br> ACT 2018: 0.66
Arkansas,1,18.9,19,19.7,19.5,19.4,1,19.4,0.03,614,594,1208,0.05,592,576,1169,Ark.,AR,5.46,Arkansas <br> SAT 2017: 0.03 <br> SAT 2018: 0.05 <br> ACT 2017: 1 <br> ACT 2018: 1
California,0.31,22.5,22.7,23.1,22.2,22.8,0.27,22.7,0.53,531,524,1055,0.6,540,536,1076,Calif.,CA,86.83,California <br> SAT 2017: 0.53 <br> SAT 2018: 0.6 <br> ACT 2017: 0.31 <br> ACT 2018: 0.27
Colorado,1,20.1,20.3,21.2,20.9,20.8,0.3,23.9,0.11,606,595,1201,1,519,506,1025,Colo.,CO,10.42,Colorado <br> SAT 2017: 0.11 <br> SAT 2018: 1 <br> ACT 2017: 1 <br> ACT 2018: 0.3
Connecticut,0.31,25.5,24.6,25.6,24.6,25.2,0.26,25.6,1,530,512,1041,1,535,519,1053,Conn.,CT,10.49,Connecticut <br> SAT 2017: 1 <br> SAT 2018: 1 <br> ACT 2017: 0.31 <br> ACT 2018: 0.26
Delaware,0.18,24.1,23.4,24.8,23.6,24.1,0.17,23.8,1,503,492,996,1,505,492,998,Del.,DE,2.07,Delaware <br> SAT 2017: 1 <br> SAT 2018: 1 <br> ACT 2017: 0.18 <br> ACT 2018: 0.17
Florida,0.73,19,19.4,21,19.4,19.8,0.66,19.9,0.83,520,497,1017,0.56,550,549,1099,Fla.,FL,28.9,Florida <br> SAT 2017: 0.83 <br> SAT 2018: 0.56 <br> ACT 2017: 0.73 <br> ACT 2018: 0.66
Georgia,0.55,21,20.9,22,21.3,21.4,0.53,21.4,0.61,535,515,1050,0.7,542,522,1064,Ga.,GA,20.12,Georgia <br> SAT 2017: 0.61 <br> SAT 2018: 0.7 <br> ACT 2017: 0.55 <br> ACT 2018: 0.53
Hawaii,0.9,17.8,19.2,19.2,19.3,19,0.89,18.9,0.55,544,541,1085,0.56,480,530,1010,Hawaii,HI,2.78,Hawaii <br> SAT 2017: 0.55 <br> SAT 2018: 0.56 <br> ACT 2017: 0.9 <br> ACT 2018: 0.89
Idaho,0.38,21.9,21.8,23,22.1,22.3,0.36,22.3,0.93,513,493,1005,1,508,493,1001,Idaho,ID,2.26,Idaho <br> SAT 2017: 0.93 <br> SAT 2018: 1 <br> ACT 2017: 0.38 <br> ACT 2018: 0.36
Illinois,0.93,21,21.2,21.6,21.3,21.4,0.43,23.9,0.09,559,556,1115,0.99,513,506,1019,Ill.,IL,34.25,Illinois <br> SAT 2017: 0.09 <br> SAT 2018: 0.99 <br> ACT 2017: 0.93 <br> ACT 2018: 0.43
Indiana,0.35,22,22.4,23.2,22.3,22.6,0.32,22.5,0.63,542,532,1074,0.63,542,532,1074,Ind.,IN,11.61,Indiana <br> SAT 2017: 0.63 <br> SAT 2018: 0.63 <br> ACT 2017: 0.35 <br> ACT 2018: 0.32
Iowa,0.67,21.2,21.3,22.6,22.1,21.9,0.68,21.8,0.02,641,635,1275,0.03,634,631,1265,Iowa,IA,6.8,Iowa <br> SAT 2017: 0.02 <br> SAT 2018: 0.03 <br> ACT 2017: 0.67 <br> ACT 2018: 0.68
Kansas,0.73,21.1,21.3,22.3,21.7,21.7,0.71,21.6,0.04,632,628,1260,0.04,633,631,1265,Kans.,KS,6.52,Kansas <br> SAT 2017: 0.04 <br> SAT 2018: 0.04 <br> ACT 2017: 0.73 <br> ACT 2018: 0.71
Kentucky,1,19.6,19.4,20.5,20.1,20,1,20.2,0.04,631,616,1247,0.04,630,618,1248,Ky.,KY,7.95,Kentucky <br> SAT 2017: 0.04 <br> SAT 2018: 0.04 <br> ACT 2017: 1 <br> ACT 2018: 1
Louisiana,1,19.4,18.8,19.8,19.6,19.5,1,19.2,0.04,611,586,1198,0.04,615,595,1210,La.,LA,8.14,Louisiana <br> SAT 2017: 0.04 <br> SAT 2018: 0.04 <br> ACT 2017: 1 <br> ACT 2018: 1
Maine,0.08,24.2,24,24.8,23.7,24.3,0.07,24,0.95,513,499,1012,0.99,512,501,1013,Maine,ME,2.74,Maine <br> SAT 2017: 0.95 <br> SAT 2018: 0.99 <br> ACT 2017: 0.08 <br> ACT 2018: 0.07
Maryland,0.28,23.3,23.1,24.2,2.3,23.6,0.31,22.5,0.69,536,528,1060,0.76,545,535,1080,Md.,MD,14.42,Maryland <br> SAT 2017: 0.69 <br> SAT 2018: 0.76 <br> ACT 2017: 0.28 <br> ACT 2018: 0.31
Massachusetts,0.29,25.4,25.3,25.9,24.7,25.4,0.25,25.5,0.76,555,551,1107,0.8,562,563,1125,Mass.,MA,17.38,Massachusetts <br> SAT 2017: 0.76 <br> SAT 2018: 0.8 <br> ACT 2017: 0.29 <br> ACT 2018: 0.25
Michigan,0.29,24.1,23.7,24.5,23.8,24.1,0.22,24.2,1,509,495,1005,1,511,499,1011,Mich.,MI,18.09,Michigan <br> SAT 2017: 1 <br> SAT 2018: 1 <br> ACT 2017: 0.29 <br> ACT 2018: 0.22
